transcript_id,company_ticker,entities_masked,orig_score,masked_score,human1,human2,orig_type,masked_type,human_mean
119312520173159,SWBI,13,50.0,68.75,4.0,9.0,vague,hedging,6.5
130577320000031,CFMS,2,68.75,68.75,8.0,9.0,hedging,hedging,8.5
143774919021287,IPHI,9,25.0,25.0,3.0,2.0,vague,vague,2.5
121390021025298,SBFG,11,18.75,18.75,3.0,0.0,none,none,1.5
156459020003494,NBIX,23,43.75,50.0,5.0,2.0,vague,hedging,3.5
101884019000013,ANF,13,18.75,25.0,1.0,2.0,vague,vague,1.5
7660519000127,PATK,3,50.0,50.0,7.0,2.0,vague,vague,4.5
117494719000249,RGR,2,18.75,18.75,5.0,2.0,vague,vague,3.5
119312519191305,ACIA,9,37.5,43.75,4.0,4.0,hedging,hedging,4.0
119312519322971,SAFM,27,37.5,25.0,3.0,4.0,deflection,vague,3.5
117494720000651,RGR,21,25.0,31.25,2.0,3.0,none,vague,2.5
143774919021287,IPHI,6,31.25,31.25,2.0,3.0,vague,vague,2.5
